image,caption
data/images/1131155939_b4b457b05e.jpg,"A dog at the shore of an ocean , with seaweed in foreground ."
data/images/1131155939_b4b457b05e.jpg,A dog is running in the waves at the beach .
data/images/1131155939_b4b457b05e.jpg,"A pile of seaweed sits on the sand , behind it a big black dog is running in the water ."
data/images/1131340021_83f46b150a.jpg,A young boy runs while wearing sandals .
data/images/1131340021_83f46b150a.jpg,Little boy in a striped shirt and brown shorts is running .
data/images/1131340021_83f46b150a.jpg,"The little boy , in a short sleeved shirt and shorts , is running outside ."
data/images/1131340021_83f46b150a.jpg,The little boy is wearing a black pinstripe shirt and walking on a deck .
data/images/1131340021_83f46b150a.jpg,Young boy running outside on the pavement .
data/images/1131800850_89c7ffd477.jpg,A brown and white dog stands outside while it snows .
data/images/1131800850_89c7ffd477.jpg,A dog is looking at something near the water .
data/images/1131800850_89c7ffd477.jpg,A furry dog attempts to dry itself by shaking the water off its coat .
data/images/1131800850_89c7ffd477.jpg,A white and brown dog shaking its self dry .
data/images/1131800850_89c7ffd477.jpg,The large brown and white dog shakes off water .
data/images/1131804997_177c3c0640.jpg,Two men are sitting on the ground and going through their backpacks .
data/images/1131804997_177c3c0640.jpg,Two men sitting in front of a railing are looking at something .
data/images/1131804997_177c3c0640.jpg,Two men with backpacks placed in front of them sitting in front of a railing .
data/images/1131804997_177c3c0640.jpg,Two men with backpacks are sitting on cardboard along a railing .
data/images/1131804997_177c3c0640.jpg,Two older men with backpacks sit at a bus station .
data/images/1131932671_c8d17751b3.jpg,A boy is jumping on a bed .
data/images/1131932671_c8d17751b3.jpg,A boy jumped up from the green bed .
data/images/1131932671_c8d17751b3.jpg,A boy jumps from one bed to another .
data/images/1131932671_c8d17751b3.jpg,A small child is jumping on a bed .
data/images/1131932671_c8d17751b3.jpg,The boy in blue shorts is bouncing on the bed .
data/images/1132772170_600610c5df.jpg,A child leaping from bed to bed behind the back of a man .
data/images/1132772170_600610c5df.jpg,A man is standing with his arms folded looking at something while the person behind him is jumping onto one of the two beds in the room .
data/images/1132772170_600610c5df.jpg,a man wearing a yellow shirt standing in the middle of two beds that a boy is jumping on in the background
data/images/1132772170_600610c5df.jpg,A young child jumping on the bed as a man looks the other way .
data/images/1132772170_600610c5df.jpg,Man standing in the bedroom with little boy jumping into bed .
data/images/113678030_87a6a6e42e.jpg,A snowboarder sits on a slope with skiers and boarders nearby .
data/images/113678030_87a6a6e42e.jpg,A snowboarder takes a rest on the mountainside .
data/images/113678030_87a6a6e42e.jpg,Snowboarders sitting in the snow while skiers take the hill .
data/images/113678030_87a6a6e42e.jpg,The snowboarder is sitting down .
data/images/113678030_87a6a6e42e.jpg,"Two skiers stand , two sit on slopes ."
data/images/1138784872_69ade3f2ab.jpg,A girl in green walks down a city street .
data/images/1138784872_69ade3f2ab.jpg,A small child in green clothing walks past a store opening and a woman in pink pants .
data/images/1138784872_69ade3f2ab.jpg,A small child walks down a sidewalk .
data/images/1138784872_69ade3f2ab.jpg,A young boy is walking in front of some stores
data/images/1138784872_69ade3f2ab.jpg,The child in the green one piece suit is walking past a store window .
data/images/114051287_dd85625a04.jpg,A boy dressed in soccer attire and holding his shoes getting out of a car .
data/images/114051287_dd85625a04.jpg,A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .
data/images/114051287_dd85625a04.jpg,A boy in glasses is wearing a red shirt .
data/images/114051287_dd85625a04.jpg,A child getting out of the car wearing soccer shoes .
data/images/114051287_dd85625a04.jpg,A young boy gets out of the van and prepares his shoes for wear during a soccer game .
data/images/1141718391_24164bf1b1.jpg,"A bridge through high green plants , a man and a woman on it ."
data/images/1141718391_24164bf1b1.jpg,A man and a woman are crossing over a rope bridge with greenery all over them .
data/images/1141718391_24164bf1b1.jpg,A man and a woman are walking across a rope bridge .
data/images/1141718391_24164bf1b1.jpg,A man and a woman crossing a suspension bridge in a tropical setting .
data/images/1141718391_24164bf1b1.jpg,Woman and man walking across wooden rope bridge with a caution sign beside it .
data/images/1141739219_2c47195e4c.jpg,A family gathered at a painted van
data/images/1141739219_2c47195e4c.jpg,A girl climbing down from the side of a bright blue truck while others watch .
data/images/1141739219_2c47195e4c.jpg,A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
data/images/1141739219_2c47195e4c.jpg,A very colorful bus is pulled off to the side of the road as its passengers load .
data/images/1141739219_2c47195e4c.jpg,Two women and four children standing next to a brightly painted truck .
data/images/1142283988_6b227c5231.jpg,A blond woman poses with a person in a pink costume .
data/images/1142283988_6b227c5231.jpg,A smiling woman holds a person dressed in a pig costume .
data/images/1142283988_6b227c5231.jpg,A young woman hugs a young man who 's wearing a pink costume .
data/images/1142283988_6b227c5231.jpg,"Blond embracing young man in pink costume , at event"
data/images/1142283988_6b227c5231.jpg,Two people are hugging and one is wearing a pink-hooded stretch top .
data/images/1142847777_2a0c1c2551.jpg,A bicyclist riding on a city street .
data/images/1142847777_2a0c1c2551.jpg,A woman in a blue helmet and brown shorts rides her bike on a busy street .
data/images/1142847777_2a0c1c2551.jpg,A woman is riding a blue bike .
data/images/1142847777_2a0c1c2551.jpg,A woman is riding her bicycle in traffic
data/images/1142847777_2a0c1c2551.jpg,A woman wearing a blue helmet rides her bicycle in a parking lot .
data/images/1143373711_2e90b7b799.jpg,A bicycle rider is crossing a street .
data/images/1143373711_2e90b7b799.jpg,A bicyclist getting ready to cross a street .
data/images/1143373711_2e90b7b799.jpg,A biker in spandex riding on a busy street .
data/images/1143373711_2e90b7b799.jpg,A man in blue and white biking gear rides down a busy street .
data/images/1143373711_2e90b7b799.jpg,a man wearing a helmet riding his bicycle down the street .
data/images/1143882946_1898d2eeb9.jpg,A lady wearing a helmet holding a bike .
data/images/1143882946_1898d2eeb9.jpg,A woman in a blue vest and a sky blue helmet stands with her bicycle in traffic .
data/images/1143882946_1898d2eeb9.jpg,A woman in a helmet rides her bike behind a car .
data/images/1143882946_1898d2eeb9.jpg,A woman with a helmet and a backpack walks next to her bike .
data/images/1143882946_1898d2eeb9.jpg,Women with bike and helmet wait for traffic .
data/images/1144288288_e5c9558b6a.jpg,A man in shorts is jogging along a street with a headset .
data/images/1144288288_e5c9558b6a.jpg,A person in blue shorts and wearing a Walkman jogs .
data/images/1144288288_e5c9558b6a.jpg,A woman in a white shirt and blue shorts is wearing headphones .
data/images/1144288288_e5c9558b6a.jpg,A woman walks on a street wearing headphones .
data/images/1144288288_e5c9558b6a.jpg,A woman wearing a white hat and shirt is jogging down a street with a plant store on the corner .
data/images/1148238960_f8cacec2fc.jpg,Bicyclists are standing at an intersection .
data/images/1148238960_f8cacec2fc.jpg,Bicyclists waiting at an intersection .
data/images/1148238960_f8cacec2fc.jpg,People on bicycles waiting at an intersection .
data/images/1148238960_f8cacec2fc.jpg,People waiting at a light on bikes .
data/images/1148238960_f8cacec2fc.jpg,three bikers stop in town .
data/images/1149179852_acad4d7300.jpg,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .
data/images/1149179852_acad4d7300.jpg,A shirtless man escorts a horse pulling a carriage along a paved road .
data/images/1149179852_acad4d7300.jpg,A shirtless man leading a horse that is pulling a carriage .
data/images/1149179852_acad4d7300.jpg,Shirtless man leading a small horse-drawn covered wagon down a road
data/images/1149179852_acad4d7300.jpg,The shirtless man is walking the Shetland pony and carriage down the street .
data/images/114949897_490ca7eaec.jpg,A boy hits a ball off of a tee ball into to net .
data/images/114949897_490ca7eaec.jpg,"A child practices hitting a baseball into a net , while two adult men watch ."
data/images/114949897_490ca7eaec.jpg,A man holds a net while a boys bats a ball into it .
data/images/114949897_490ca7eaec.jpg,The man is holding the net for the boy playing baseball .
data/images/114949897_490ca7eaec.jpg,Three people put up a batting cage .
data/images/1151466868_3bc4d9580b.jpg,A small girl spins in the waves in the bright sun .
data/images/1151466868_3bc4d9580b.jpg,A young girl plays in shallow water .
data/images/1151466868_3bc4d9580b.jpg,A young girl wears a shirt and shorts as she plays in the ocean 's surf .
data/images/1151466868_3bc4d9580b.jpg,Girl running through the water near the shore .
data/images/1151466868_3bc4d9580b.jpg,The little girl splashes through the water .
data/images/1153704539_542f7aa3a5.jpg,A girl playing trumpet in a marching band .
data/images/1153704539_542f7aa3a5.jpg,A teenager plays her trumpet on the field at a game .
data/images/1153704539_542f7aa3a5.jpg,a young girl wearing a blue shirt marching in a band playing a trumpet
data/images/1153704539_542f7aa3a5.jpg,Girl playing the trumpet in a marching band
data/images/1153704539_542f7aa3a5.jpg,Girl wearing blue shirt and black shorts plays trumped outside .
data/images/1155138244_859fd6e079.jpg,A girl hands out Starbucks samples at a street fair .
data/images/1155138244_859fd6e079.jpg,An Asian girl in a green hat and apron is serving drinks on a tray .
data/images/1155138244_859fd6e079.jpg,a Starbucks barista offering up a tray of drinks
data/images/1155138244_859fd6e079.jpg,The waitress offers complimentary tea to the patrons .
data/images/1155138244_859fd6e079.jpg,Woman dressed in a green hat and apron is holding a try full of drink samples .
data/images/115684808_cb01227802.jpg,Three men are setting up a sledge on a snowy plain .
data/images/115684808_cb01227802.jpg,Three men loading items on a sled .
data/images/115684808_cb01227802.jpg,Three people and a sled .
data/images/115684808_cb01227802.jpg,Three people are standing in the snow preparing an ice fishing boat .
data/images/115684808_cb01227802.jpg,Three people in the snow put their gear in order .
data/images/1159574340_99ba8c3c59.jpg,A child jumping into a lake in a wooded area while another child plays on the shore .
data/images/1159574340_99ba8c3c59.jpg,A child jumps into the water with his sneakers on .
data/images/1159574340_99ba8c3c59.jpg,A kid jumping into a pool of water .
data/images/1159574340_99ba8c3c59.jpg,Little boy in sneakers jumping into water .
data/images/1159574340_99ba8c3c59.jpg,The man takes a leap into the water with his shoes on .
data/images/1160034462_16b38174fe.jpg,A elderly man in a straw hat is sitting on a bench .
data/images/1160034462_16b38174fe.jpg,a elderly man sits alone on a park bench .
data/images/1160034462_16b38174fe.jpg,An old man in a straw hat sits on a park bench .
data/images/1160034462_16b38174fe.jpg,The old man in the brown hat is sitting on the bench .
data/images/1160034462_16b38174fe.jpg,White haired man in gray sweater and a straw hat sitting on a bench under a tree .
data/images/1160441615_fe6b3c5277.jpg,Three girls are walking across a bridge covered with wood and surrounded by trees .
data/images/1160441615_fe6b3c5277.jpg,Three girls walking along an arched garden pathway .
data/images/1160441615_fe6b3c5277.jpg,Three girls walk under an arbor on a path surrounded by trees .
data/images/1160441615_fe6b3c5277.jpg,Three women walking through a tunnel in a park .
data/images/1160441615_fe6b3c5277.jpg,Three women walk through a plant covered atrium hallway .
data/images/1163282319_b729b24c46.jpg,"A girl dressed in a red top , a red cap , and light colored shorts , sits on a rock outside ."
data/images/1163282319_b729b24c46.jpg,A little girl in a red hat and yellow flip flops sits on a rock .
data/images/1163282319_b729b24c46.jpg,"A little girl with a red hood and shirt is sitting with legs sprawled on a rock , her mouth open ."
data/images/1163282319_b729b24c46.jpg,A young girl wearing yellow flip-flops is sitting on a large boulder .
data/images/1163282319_b729b24c46.jpg,The little girl sits on top of a rock .
data/images/116409198_0fe0c94f3b.jpg,A man eats near a tent in the snow .
data/images/116409198_0fe0c94f3b.jpg,A man sitting near a tent in the snow and ice .
data/images/116409198_0fe0c94f3b.jpg,A mountaineer sits in the snow in front of a yellow tent under clear blue sky .
data/images/116409198_0fe0c94f3b.jpg,Person wearing a hooded jacket sitting on snow in front of a yellow tent .
data/images/116409198_0fe0c94f3b.jpg,Young man in hooded jacket sitting on snow in mountain area .
data/images/1164131282_b30926f332.jpg,A grey dog beside a black and white dog running in green grass .
data/images/1164131282_b30926f332.jpg,two dogs are wrestling in a grassy field .
data/images/1164131282_b30926f332.jpg,"two dogs , playing in a field , wrestling with each other"
data/images/1164131282_b30926f332.jpg,Two dogs run along a grassy field while one bites the other .
data/images/1164131282_b30926f332.jpg,Two dogs wrestle in a field .
data/images/1164765687_7aca07bbe7.jpg,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .
data/images/1164765687_7aca07bbe7.jpg,A man in a red shirt is giving toys to a small dog .
data/images/1164765687_7aca07bbe7.jpg,A man is playing tug of war with his dog .
data/images/1164765687_7aca07bbe7.jpg,A man playing with a black dog on a white blanket .
data/images/1164765687_7aca07bbe7.jpg,A man playing with his dog on the blanket on the floor .
data/images/1167662968_e466f1e80a.jpg,A guy with a nose piercing .
data/images/1167662968_e466f1e80a.jpg,A man in a red cap with a nose ring .
data/images/1167662968_e466f1e80a.jpg,A teenage boy has a silver ring protruding from his nose .
data/images/1167662968_e466f1e80a.jpg,closeup picture of a man with a nose ring and a brown shirt
data/images/1167662968_e466f1e80a.jpg,Young man with a nose ring and a hat .
data/images/1167669558_87a8a467d6.jpg,A man in yellow grimaces .
data/images/1167669558_87a8a467d6.jpg,a man wearing a yellow shirt with a dramatic look on his face
data/images/1167669558_87a8a467d6.jpg,The man in the yellow t-shirt is pulling a large grin on his face .
data/images/1167669558_87a8a467d6.jpg,"There is a man , wearing a yellow shirt , and grimacing ."
data/images/1167669558_87a8a467d6.jpg,This man is smiling very big at the camera .
data/images/1167908324_8caab45e15.jpg,A man is standing by a group of video games in a bar .
data/images/1167908324_8caab45e15.jpg,a man standing in a bar with a neon beer sign hanging on the wall
data/images/1167908324_8caab45e15.jpg,A man stands next to a bank of computer gambling machines .
data/images/1167908324_8caab45e15.jpg,A man stands next to three video game machines and a beer sign .
data/images/1167908324_8caab45e15.jpg,A man stands next to three video machines .
data/images/1169307342_e7a4685a5c.jpg,A big brown dog plays with a smaller grey dog on the grass .
data/images/1169307342_e7a4685a5c.jpg,The dark brown dog is playing with the light brown dog .
data/images/1169307342_e7a4685a5c.jpg,Two brown dogs are running through the grass .
data/images/1169307342_e7a4685a5c.jpg,Two brown dogs run side by side .
data/images/1169307342_e7a4685a5c.jpg,Two dogs running and playing rough in the grass .
data/images/1174525839_7c1e6cfa86.jpg,A girl in blue is jumping on the shore as small waves approach her .
data/images/1174525839_7c1e6cfa86.jpg,A girl leaps into the air while standing by the ocean .
data/images/1174525839_7c1e6cfa86.jpg,"A young , long-haired , girl on the beach , is jumping in the air ."
data/images/1174525839_7c1e6cfa86.jpg,The girl is running into the ocean from the shore .
data/images/1174525839_7c1e6cfa86.jpg,The girls is jumping into the air on the beach .
data/images/1174629344_a2e1a2bdbf.jpg,A crowd of people walk down a busy sidewalk .
data/images/1174629344_a2e1a2bdbf.jpg,A group of different people are walking in all different directions in a city .
data/images/1174629344_a2e1a2bdbf.jpg,A group of people walking a city street in warm weather .
data/images/1174629344_a2e1a2bdbf.jpg,Busy intersection in the summer time in a city
data/images/1174629344_a2e1a2bdbf.jpg,People in summer clothes are walking on the sidewalk of a large city .
data/images/1176580356_9810d877bf.jpg,A big dog catches a ball on his nose
data/images/1176580356_9810d877bf.jpg,A brown and black dog is jumping to catch a red ball .
data/images/1176580356_9810d877bf.jpg,A brown and black dog jumps for a red ball .
data/images/1176580356_9810d877bf.jpg,Dog jumps to get orange ball on his head .
data/images/1176580356_9810d877bf.jpg,The brown and black dog is jumping up to catch a red ball .
data/images/1177994172_10d143cb8d.jpg,"Two blonde boys , one in a camouflage shirt and the other in blue , are having a water fight ."
data/images/1177994172_10d143cb8d.jpg,Two boys are squirting water guns at each other .
data/images/1177994172_10d143cb8d.jpg,Two boys spraying each other with water
data/images/1177994172_10d143cb8d.jpg,Two children wearing jeans squirt water at each other .
data/images/1177994172_10d143cb8d.jpg,Two young boys are squirting water at each other .
data/images/1178705300_c224d9a4f1.jpg,a brown dog jumping into a pool after a bloe ball .
data/images/1178705300_c224d9a4f1.jpg,A dog in the air above the swimming pool .
data/images/1178705300_c224d9a4f1.jpg,A dog jumps into a backyard pool .
data/images/1178705300_c224d9a4f1.jpg,A tan colored dog is jumping into an outdoor pool .
data/images/1178705300_c224d9a4f1.jpg,A tan colored dog leaps into the inground pool .
data/images/118187095_d422383c81.jpg,Parents are pushing little children in red car carts .
data/images/118187095_d422383c81.jpg,twin boys being pushed in small car shaped strollers in a parade
data/images/118187095_d422383c81.jpg,Twin toddlers dressed alike being pushed in plastic car strollers in a parade
data/images/118187095_d422383c81.jpg,Two children ride in toy cars .
data/images/118187095_d422383c81.jpg,Two kids being pushed in car shaped strollers in a parade .
data/images/118309463_a532b75be9.jpg,A boys baseball team wear their uniforms .
data/images/118309463_a532b75be9.jpg,A small boy smiles as he stands with others wearing the same black hats .
data/images/118309463_a532b75be9.jpg,Children sporting their Florida Dolphin caps .
data/images/118309463_a532b75be9.jpg,The boys are all wearing the same baseball hats .
data/images/118309463_a532b75be9.jpg,Three boys wearing Florida Marlins hats .
data/images/1184967930_9e29ce380d.jpg,A brown dog running through the grass and flowers .
data/images/1184967930_9e29ce380d.jpg,A dog in a field .
data/images/1184967930_9e29ce380d.jpg,A dog running in a field of grass and flowers .
data/images/1184967930_9e29ce380d.jpg,A dog running in shrubbery along a stream .
data/images/1184967930_9e29ce380d.jpg,A dog walks through a field .
data/images/1187435567_18173c148b.jpg,A small brown and black dog
data/images/1187435567_18173c148b.jpg,A small brown and black dog playing with a toy
data/images/1187435567_18173c148b.jpg,A small dog plays with a toy on top of a white blanket .
data/images/1187435567_18173c148b.jpg,"A small , shaggy dog playing with a toy on a blanket ."
data/images/1187435567_18173c148b.jpg,Terrier dog playing with toy on blanket
data/images/1187593464_ce862352c6.jpg,A big tan dog runs on grass with a big stick in his mouth .
data/images/1187593464_ce862352c6.jpg,A dog running across a grassy field with a stick in its mouth .
data/images/1187593464_ce862352c6.jpg,A dog running with a stick in his mouth
data/images/1187593464_ce862352c6.jpg,A dog runs toward the camera with a stick in its mouth .
data/images/1187593464_ce862352c6.jpg,The dog carrying a long stick in its mouth .
data/images/1189977786_4f5aaed773.jpg,A dog jumping into a swimming pool .
data/images/1189977786_4f5aaed773.jpg,A grey dog runs alongside a pool while a yellow dog jumps into the pool .
data/images/1189977786_4f5aaed773.jpg,One dog is jumping into a pool while another runs alongside the pool 's edge .
data/images/1189977786_4f5aaed773.jpg,one tan dog jumping in a pool while the other grey dog is on the deck
data/images/1189977786_4f5aaed773.jpg,Two dogs jumping into a swimming pool .
data/images/1191338263_a4fa073154.jpg,A little old lady sitting next to an advertisement .
data/images/1191338263_a4fa073154.jpg,An Asian woman waiting at an underground train stop .
data/images/1191338263_a4fa073154.jpg,An old woman sits in a transit station next to a backlit advertisement .
data/images/1191338263_a4fa073154.jpg,A woman sits in a subway station .
data/images/1191338263_a4fa073154.jpg,"A woman with an umbrella is sitting at a station , with an Aquos commercial on the wall ."
data/images/1193116658_c0161c35b5.jpg,A girl rides a unicycle as another rides a scooter next to her .
data/images/1193116658_c0161c35b5.jpg,A girl rides a unicycle with a child who rides a scooter .
data/images/1193116658_c0161c35b5.jpg,A young girl rides a unicycle next to another riding a scooter on a busy street .
data/images/1193116658_c0161c35b5.jpg,The girl on the unicycle reaches out for the child on the scooter .
data/images/1193116658_c0161c35b5.jpg,There is a girl on a unicycle and a child on a scooter .
